Query_ID	Target_ID	Optimal_offset	p-value	Correlation	q-value	Orientation
3	mgaa	.	0.00025121467179286936	0.00025121467179286936	0.007410832817889647	.
3	zbtb7a+zbtb7c	.	0.00030681524846861704	0.00030681524846861704	0.008620047456975432	.
3	klf12b	.	0.00033972929395405705	0.00033972929395405705	0.009110921974222438	.
3	TCF4	.	0.00041021001327875217	0.00041021001327875217	0.010031266255673174	.
3	tbx4	.	0.0003925539862456155	0.0003925539862456155	0.010031266255673174	.
3	tbx1	.	0.00044205580109746187	0.00044205580109746187	0.010031266255673174	.
3	rcor1	.	0.00043211375079428105	0.00043211375079428105	0.010031266255673174	.
3	mbd2	.	0.0004846485996003463	0.0004846485996003463	0.010590469398674232	.
3	mecp2	.	0.0006008314153949334	0.0006008314153949334	0.012223811554586577	.
3	id4	.	0.0005913424809820618	0.0005913424809820618	0.012223811554586577	.
3	tbx5a+tbx5b	.	0.0006714008407387993	0.0006714008407387993	0.01320421653452972	.
3	sp8a+sp8b	.	0.0007058591049173302	0.0007058591049173302	0.013434092641974994	.
3	zeb1a+zeb1b	.	0.0007526572519660389	0.0007526572519660389	0.013877118083123842	.
3	hic1l+hic2	.	0.000880646552780795	0.000880646552780795	0.015744892913353608	.
3	e2f7	.	0.0009527153066171613	0.0009527153066171613	0.01653241267365074	.
3	twist1a+twist1b+twist3	.	0.0010132868588293032	0.0010132868588293032	0.01708112133455111	.
3	e2f1	.	0.0010822093796035613	0.0010822093796035613	0.017736209276836144	.
3	rsl1d1+sp3a	.	0.0013156726496483017	0.0013156726496483017	0.020979644953851295	.
3	klf4	.	0.0015456067654197813	0.0015456067654197813	0.0239975787262545	.
3	figla	.	0.0016891065724624964	0.0016891065724624964	0.025553150711612124	.
3	yy1a+yy1b	.	0.001961150462372593	0.001961150462372593	0.027549494590472137	.
3	ebf3a-1+si:ch211-51e8.2	.	0.0019320830578924354	0.0019320830578924354	0.027549494590472137	.
3	tcf12	.	0.0018760811118667586	0.0018760811118667586	0.027549494590472137	.
3	wt1a+wt1b	.	0.0030881659166286045	0.0030881659166286045	0.04237250908862504	.
3	rbpjb	.	0.0032386480183073806	0.0032386480183073806	0.042462274017807874	.
3	mta3	.	0.0032307133659777616	0.0032307133659777616	0.042462274017807874	.
4	arnt	.	0.00011247923969064223	0.00011247923969064223	0.013551630979442926	.
4	mlxipl	.	0.00029031775802530497	0.00029031775802530497	0.013551630979442926	.
4	elk4	.	0.00031393423162673665	0.00031393423162673665	0.013551630979442926	.
4	usf1	.	0.00039047072313649114	0.00039047072313649114	0.013551630979442926	.
4	mbd2	.	0.0003511185492149463	0.0003511185492149463	0.013551630979442926	.
4	mlx	.	0.0003009406397505378	0.0003009406397505378	0.013551630979442926	.
4	foxn1	.	0.00010610334426745078	0.00010610334426745078	0.013551630979442926	.
4	gmeb2	.	2.7147035410797032e-05	2.7147035410797032e-05	0.013551630979442926	.
4	max+si:ch73-59f11.3	.	0.0002829361859645382	0.0002829361859645382	0.013551630979442926	.
4	hey1+heyl	.	0.0003350435982459329	0.0003350435982459329	0.013551630979442926	.
4	arnt2	.	0.00038109546328374966	0.00038109546328374966	0.013551630979442926	.
4	e4f1+si:dkeyp-79b7.12	.	7.479522716151923e-05	7.479522716151923e-05	0.013551630979442926	.
4	mnta+mntb	.	0.00012884233231415636	0.00012884233231415636	0.013551630979442926	.
4	mycn	.	0.0003431868508424671	0.0003431868508424671	0.013551630979442926	.
4	mecp2	.	0.00017712278043097382	0.00017712278043097382	0.013551630979442926	.
4	atf1	.	0.0002011705865082668	0.0002011705865082668	0.013551630979442926	.
4	cxxc1a+cxxc1b+mbd1a+mbd1b	.	0.00024183573733492516	0.00024183573733492516	0.013551630979442926	.
4	creb5a+creb5b	.	0.0004264551047681432	0.0004264551047681432	0.013560006727073571	.
4	tfeb	.	0.0004366781827362675	0.0004366781827362675	0.013560006727073571	.
4	elf1	.	0.0004697931424985767	0.0004697931424985767	0.013858897703708014	.
4	bhlhe41	.	0.0005404038228013687	0.0005404038228013687	0.01474143738635234	.
4	hey2	.	0.0005496807161012737	0.0005496807161012737	0.01474143738635234	.
4	creb3l2	.	0.00068306513706022	0.00068306513706022	0.016120337234621192	.
4	jdp2b	.	0.0006388021484195402	0.0006388021484195402	0.016120337234621192	.
4	myca+mych	.	0.0006652843802387332	0.0006652843802387332	0.016120337234621192	.
4	mxi1	.	0.0008533991243453212	0.0008533991243453212	0.018717219140839344	.
4	tfdp1a+tfdp1b	.	0.0008565507064451903	0.0008565507064451903	0.018717219140839344	.
4	junba+junbb	.	0.0011396656549523614	0.0011396656549523614	0.023186301255927355	.
4	e2f1	.	0.0011110529553146867	0.0011110529553146867	0.023186301255927355	.
4	clocka+clockb+npas2	.	0.0011897385593030681	0.0011897385593030681	0.023398191666293675	.
4	elf2a+elf2b	.	0.001285573092091183	0.001285573092091183	0.02446735884947735	.
4	usf2	.	0.001696755599829027	0.001696755599829027	0.027807938997197943	.
4	usf1l	.	0.0016587606032747208	0.0016587606032747208	0.027807938997197943	.
4	atf2	.	0.0015624725269270865	0.0015624725269270865	0.027807938997197943	.
4	her12+her15.1+her15.2+her2+her4.1+her4.2+her4.3+her4.4	.	0.001654357079861583	0.001654357079861583	0.027807938997197943	.
4	srebf1	.	0.0016330651990795755	0.0016330651990795755	0.027807938997197943	.
4	prox1a+prox2+prox3	.	0.002033616979512988	0.002033616979512988	0.03160496985749564	.
4	tfcp2+tfcp2l1+ubp1	.	0.0020355743298048038	0.0020355743298048038	0.03160496985749564	.
4	her1+her11+her5	.	0.002288338681670075	0.002288338681670075	0.03461845697911139	.
4	e2f2	.	0.0026366424662609476	0.0026366424662609476	0.03889047637734898	.
4	mybl2b	.	0.002880053808650952	0.002880053808650952	0.04144467675863565	.
5	neurod1	.	1.9799877618691114e-06	1.9799877618691114e-06	0.0011681927795027757	.
5	yy1a+yy1b	.	0.00020437844238569008	0.00020437844238569008	0.03018121899246573	.
5	klf12b	.	0.00013895084094612674	0.00013895084094612674	0.03018121899246573	.
5	gata3	.	0.0002046184338472253	0.0002046184338472253	0.03018121899246573	.
5	insm1a+insm1b	.	0.000394418753340915	0.000394418753340915	0.044946003997883135	.
5	hoxb1a+hoxb1b-2	.	0.0004989648099229671	0.0004989648099229671	0.044946003997883135	.
5	snai1b+snai3	.	0.0006922090538007649	0.0006922090538007649	0.044946003997883135	.
5	myod1	.	0.0007171191786016187	0.0007171191786016187	0.044946003997883135	.
5	mespaa+mespab+mespba+mespbb	.	0.000837976345723245	0.000837976345723245	0.044946003997883135	.
5	snai1a	.	0.0007947291206632821	0.0007947291206632821	0.044946003997883135	.
5	znf740a+znf740b	.	0.0005825806127092753	0.0005825806127092753	0.044946003997883135	.
5	hinfp	.	0.0009650457410412582	0.0009650457410412582	0.04744808226786186	.
5	figla	.	0.0010773144890280884	0.0010773144890280884	0.048893503732813245	.
6	egr2a+egr2b	.	1.1249500848060228e-10	1.1249500848060228e-10	6.637205500355534e-08	.
6	znf740a+znf740b	.	4.470370428492475e-09	4.470370428492475e-09	1.3187592764052801e-06	.
6	e2f6	.	1.3351943590889998e-08	1.3351943590889998e-08	2.6258822395416994e-06	.
6	egr1	.	5.714675357117662e-08	5.714675357117662e-08	6.743316921398842e-06	.
6	patz1	.	5.183429835192643e-08	5.183429835192643e-08	6.743316921398842e-06	.
6	wt1a+wt1b	.	1.1982817743830002e-07	1.1982817743830002e-07	1.1783104114766168e-05	.
6	sp1	.	1.9391809683069083e-07	1.9391809683069083e-07	1.6344525304301087e-05	.
6	gcm2	.	7.292970280137361e-07	7.292970280137361e-07	5.3785655816013035e-05	.
6	rsl1d1+sp3a	.	1.460021979395215e-06	1.460021979395215e-06	9.354924431543027e-05	.
6	tfdp1a+tfdp1b	.	1.5855804121259366e-06	1.5855804121259366e-06	9.354924431543027e-05	.
6	klf4	.	2.108274459804389e-06	2.108274459804389e-06	0.00010365682760704912	.
6	plag1+plagx	.	2.1071729731143025e-06	2.1071729731143025e-06	0.00010365682760704912	.
6	sp8a+sp8b	.	4.4021666407068245e-06	4.4021666407068245e-06	0.0001869571308344644	.
6	e2f1	.	4.436270901156782e-06	4.436270901156782e-06	0.0001869571308344644	.
6	klf12b	.	2.2432188937910356e-05	2.2432188937910356e-05	0.0008271869670854443	.
6	zbtb7a+zbtb7c	.	2.1422826888309817e-05	2.1422826888309817e-05	0.0008271869670854443	.
6	arnt2	.	4.736189466281229e-05	4.736189466281229e-05	0.0016437363441799558	.
6	ikzf1	.	5.0375579174357465e-05	5.0375579174357465e-05	0.0016511995396039391	.
6	insm1a+insm1b	.	7.462655466982801e-05	7.462655466982801e-05	0.0023173509081683436	.
6	rbpjb	.	8.403391221648653e-05	8.403391221648653e-05	0.0024790004103863524	.
6	klf5l+klf6a+klf6b	.	0.00010251604016165241	0.00010251604016165241	0.0028802125569226153	.
6	e2f8	.	0.00010930236834214638	0.00010930236834214638	0.002931290787357562	.
6	hic1l+hic2	.	0.00022882056306635287	0.00022882056306635287	0.005869744878658617	.
6	gli2a+gli3	.	0.0003424344802121518	0.0003424344802121518	0.008418180971882065	.
6	hmx4	.	0.000514004583089213	0.000514004583089213	0.012130508160905426	.
6	bcl11aa+znf296	.	0.0005421154174398154	0.0005421154174398154	0.012301849857288119	.
6	zic2a+zic2b	.	0.0006515454955338127	0.0006515454955338127	0.014237475643146277	.
6	si:ch211-69l10.4+tbx15	.	0.0007988628012477697	0.0007988628012477697	0.01683318045486372	.
6	mgaa	.	0.0009155688120184482	0.0009155688120184482	0.018331991208103544	.
6	nkx2.5	.	0.0009321351461747564	0.0009321351461747564	0.018331991208103544	.
6	tbx1	.	0.0009825167367730522	0.0009825167367730522	0.01869951208697099	.
6	zic3	.	0.0011382548921867056	0.0011382548921867056	0.020986574574692385	.
6	rorc	.	0.0017592977660120007	0.0017592977660120007	0.031262050758580955	.
6	runx1	.	0.0018015419081216144	0.0018015419081216144	0.031262050758580955	.
6	srebf2	.	0.001861770089984977	0.001861770089984977	0.03138412437403247	.
6	arnt	.	0.00204094068646007	0.00204094068646007	0.0334487501392067	.
6	hap1	.	0.002425142164375488	0.002425142164375488	0.03867118586436589	.
6	rcor1	.	0.0028131501408229713	0.0028131501408229713	0.04367785744961982	.
6	prdm2a	.	0.003173837308153386	0.003173837308153386	0.04801446184129481	.
8	hoxa9a+hoxa9b	.	0.00034445612186676157	0.00034445612186676157	0.019214727543161295	.
8	hoxa13a+hoxa13b	.	0.00011668634773239233	0.00011668634773239233	0.019214727543161295	.
8	foxl1	.	0.0004204990164076909	0.0004204990164076909	0.019214727543161295	.
8	hoxb6a+hoxb6b	.	0.0004233753526459268	0.0004233753526459268	0.019214727543161295	.
8	nfil3-5+nfil3-6+si:dkey-60d5.3	.	5.2004680642387706e-05	5.2004680642387706e-05	0.019214727543161295	.
8	hoxc11a	.	0.0003651983330462546	0.0003651983330462546	0.019214727543161295	.
8	hoxc9a	.	0.00020440593927512302	0.00020440593927512302	0.019214727543161295	.
8	foxd1+foxd7	.	0.00018913655663129372	0.00018913655663129372	0.019214727543161295	.
8	hoxc11b	.	0.000344111098440098	0.000344111098440098	0.019214727543161295	.
8	barhl1a+barhl1b	.	0.0003692368761780363	0.0003692368761780363	0.019214727543161295	.
8	hoxa11b	.	0.0002845743062918382	0.0002845743062918382	0.019214727543161295	.
8	hoxb10a+hoxc10a	.	9.493879469202562e-05	9.493879469202562e-05	0.019214727543161295	.
8	foxb1b+foxb2	.	0.00026259259943063834	0.00026259259943063834	0.019214727543161295	.
8	hoxc12a+hoxc12b	.	0.000607770077618326	0.000607770077618326	0.019736114382053083	.
8	foxf1+foxf2a+foxf2b	.	0.0005207830402258927	0.0005207830402258927	0.019736114382053083	.
8	foxg1b+si:rp71-45k5.2	.	0.00047804856548464025	0.00047804856548464025	0.019736114382053083	.
8	foxb1a	.	0.0006004206177007027	0.0006004206177007027	0.019736114382053083	.
8	foxc1a+foxc1b	.	0.0005538430491302603	0.0005538430491302603	0.019736114382053083	.
8	foxq2	.	0.0006355697851847603	0.0006355697851847603	0.019736114382053083	.
8	hoxc13a	.	0.0006973277268489874	0.0006973277268489874	0.02057116794204513	.
8	arid5b	.	0.0008469386605534131	0.0008469386605534131	0.023794943320310177	.
8	foxa2	.	0.0010064227143309606	0.0010064227143309606	0.026421998009079056	.
8	barhl2	.	0.0010300100918793531	0.0010300100918793531	0.026421998009079056	.
8	cdc5l	.	0.001224166907157724	0.001224166907157724	0.028369131072802267	.
8	hmbox1a+zgc:91944	.	0.0012501650981234897	0.0012501650981234897	0.028369131072802267	.
8	hoxd11a	.	0.0011953005254764911	0.0011953005254764911	0.028369131072802267	.
8	lhx6	.	0.0013718663637117294	0.0013718663637117294	0.02997782054036742	.
8	gsc	.	0.001455136549189771	0.001455136549189771	0.030131303131472387	.
8	pou2f3	.	0.0015321001592274095	0.0015321001592274095	0.030131303131472387	.
8	lhx3+lhx4	.	0.0014997195780883294	0.0014997195780883294	0.030131303131472387	.
8	vsx1	.	0.0016946997548499265	0.0016946997548499265	0.03084749979111603	.
8	foxp2	.	0.0017776525303355001	0.0017776525303355001	0.03084749979111603	.
8	alx1	.	0.001636619664940911	0.001636619664940911	0.03084749979111603	.
8	bhlhe22	.	0.0017401500454717468	0.0017401500454717468	0.03084749979111603	.
8	hoxb8a+hoxb8b	.	0.002374260795400496	0.002374260795400496	0.04002325340817979	.
8	bhlhe23+si:ch211-196c10.13	.	0.0027433469879513655	0.0027433469879513655	0.0406936753044972	.
8	gata1b+gata2a	.	0.002758893240982861	0.002758893240982861	0.0406936753044972	.
8	dlx3b	.	0.002596966785460074	0.002596966785460074	0.0406936753044972	.
8	CR354582.1	.	0.0024903438033308687	0.0024903438033308687	0.0406936753044972	.
8	rx3	.	0.002704841000696741	0.002704841000696741	0.0406936753044972	.
8	shox2	.	0.0036414941433519673	0.0036414941433519673	0.04124119599941108	.
8	mef2b	.	0.0038445182711315416	0.0038445182711315416	0.04124119599941108	.
8	mnx1+mnx2a+mnx2b	.	0.003678324390101451	0.003678324390101451	0.04124119599941108	.
8	otx2b	.	0.0029776034290827855	0.0029776034290827855	0.04124119599941108	.
8	hoxd10a	.	0.0036428306369138833	0.0036428306369138833	0.04124119599941108	.
8	msx2b	.	0.0034973020380145237	0.0034973020380145237	0.04124119599941108	.
8	bsx+nanog	.	0.003562437945249449	0.003562437945249449	0.04124119599941108	.
8	eve1+evx1	.	0.003535402049677605	0.003535402049677605	0.04124119599941108	.
8	olig1	.	0.003765863318512408	0.003765863318512408	0.04124119599941108	.
8	mef2d	.	0.003770359921085002	0.003770359921085002	0.04124119599941108	.
8	roraa+rorab	.	0.00306204644481137	0.00306204644481137	0.04124119599941108	.
8	olig2+olig4	.	0.003803587013099044	0.003803587013099044	0.04124119599941108	.
8	gbx1	.	0.003239382175319572	0.003239382175319572	0.04124119599941108	.
8	emx1	.	0.002952669669991779	0.002952669669991779	0.04124119599941108	.
8	shox	.	0.0032480815600224667	0.0032480815600224667	0.04124119599941108	.
8	hoxb2a	.	0.004104476265938228	0.004104476265938228	0.042484929770237795	.
8	gata6	.	0.00404796706332221	0.00404796706332221	0.042484929770237795	.
8	zgc:101100	.	0.004420033932657131	0.004420033932657131	0.043465994798763855	.
8	gsx1	.	0.004420270657501409	0.004420270657501409	0.043465994798763855	.
8	pou6f2	.	0.0043788206137859624	0.0043788206137859624	0.043465994798763855	.
8	nkx6.1	.	0.0047451475419514715	0.0047451475419514715	0.045264695019145394	.
8	hoxd9a	.	0.004756628968113584	0.004756628968113584	0.045264695019145394	.
8	lmx1al	.	0.005366664281117138	0.005366664281117138	0.04947393634154862	.
8	dlx2a+dlx2b	.	0.005288195247394918	0.005288195247394918	0.04947393634154862	.
8	gata5	.	0.005473845119964991	0.005473845119964991	0.04968567108891299	.
8	olig3	.	0.005586685494330383	0.005586685494330383	0.04994158244931706	.
9	znf740a+znf740b	.	6.62795215048102e-10	6.62795215048102e-10	3.910491768783802e-07	.
9	klf4	.	3.7850613136224165e-07	3.7850613136224165e-07	0.00011165930875186129	.
9	egr1	.	5.768901384329581e-06	5.768901384329581e-06	0.0008509129541886132	.
9	gcm2	.	5.310632447199461e-06	5.310632447199461e-06	0.0008509129541886132	.
9	e2f1	.	1.6511059347524696e-05	1.6511059347524696e-05	0.001948305003007914	.
9	klf12b	.	5.148326872544143e-05	5.148326872544143e-05	0.005062521424668407	.
9	tfdp1a+tfdp1b	.	7.156794876982348e-05	7.156794876982348e-05	0.006032155682027979	.
9	rbpjb	.	0.00013947497403477496	0.00013947497403477496	0.010286279335064654	.
9	hic1l+hic2	.	0.0001748227177862252	0.0001748227177862252	0.011460600388208095	.
9	ikzf1	.	0.00021701632208479023	0.00021701632208479023	0.012803963003002624	.
9	bcl11aa+znf296	.	0.00024379187741897614	0.00024379187741897614	0.013076109788835992	.
9	zic3	.	0.000272877731780636	0.000272877731780636	0.013416488479214603	.
9	zic2a+zic2b	.	0.0004026006991700601	0.0004026006991700601	0.01696674375073825	.
9	klf5l+klf6a+klf6b	.	0.00040048419198794686	0.00040048419198794686	0.01696674375073825	.
9	sp1	.	0.0007900292598128615	0.0007900292598128615	0.031074484219305885	.
9	prdm2a	.	0.001328855848539006	0.001328855848539006	0.04900155941487585	.
10	znf740a+znf740b	.	5.216610954279609e-10	5.216610954279609e-10	3.0778004630249693e-07	.
10	klf5l+klf6a+klf6b	.	5.32569937201606e-07	5.32569937201606e-07	0.00015710813147447376	.
10	egr1	.	5.212289546800141e-05	5.212289546800141e-05	0.010250836108706944	.
10	gcm2	.	9.547404094329959e-05	9.547404094329959e-05	0.011265936831309352	.
10	zic3	.	9.040935811351667e-05	9.040935811351667e-05	0.011265936831309352	.
10	ikzf1	.	0.00012757557194764164	0.00012757557194764164	0.012544931241518094	.
10	sp1	.	0.00022416737850035527	0.00022416737850035527	0.018894107616458516	.
10	e2f1	.	0.0004230894128703221	0.0004230894128703221	0.031202844199186255	.
10	zic2a+zic2b	.	0.000551931959718341	0.000551931959718341	0.036182206248202356	.
10	gli2a+gli3	.	0.0006809998439181473	0.0006809998439181473	0.040178990791170696	.
11	myod1	.	1.8748788400705535e-11	1.8748788400705535e-11	1.1061785156416265e-08	.
11	tcf12	.	3.4262073661599376e-08	3.4262073661599376e-08	1.0107311730171815e-05	.
11	snai1b+snai3	.	1.1295610274009972e-07	1.1295610274009972e-07	1.793821330662076e-05	.
11	si:dkey-229b18.3+snai2	.	1.8242250820292298e-07	1.8242250820292298e-07	1.793821330662076e-05	.
11	TCF4	.	1.5304319725209474e-07	1.5304319725209474e-07	1.793821330662076e-05	.
11	snai1a	.	1.3786460753574056e-07	1.3786460753574056e-07	1.793821330662076e-05	.
11	tal1	.	2.5776243705323046e-07	2.5776243705323046e-07	2.1725691123057997e-05	.
11	mxi1	.	3.8294276781871414e-07	3.8294276781871414e-07	2.8242029126630166e-05	.
11	usf2	.	5.980147921641465e-06	5.980147921641465e-06	0.0003920319193076072	.
11	mycn	.	7.3069370535625806e-06	7.3069370535625806e-06	0.00043110928616019227	.
11	zeb1a+zeb1b	.	9.94662447804224e-06	9.94662447804224e-06	0.0005335007674586292	.
11	mybl2a	.	0.00011002992120644157	0.00011002992120644157	0.00540980445931671	.
11	myb	.	0.0003325491427671785	0.0003325491427671785	0.015092614940971949	.
11	klf12b	.	0.00037915816498958134	0.00037915816498958134	0.015978808381703787	.
12	CABZ01079241.1+zfx+znf711	.	2.1535279752652528e-06	2.1535279752652528e-06	0.0012705815054064992	.
12	hic1l+hic2	.	1.7750067147593043e-05	1.7750067147593043e-05	0.005236269808539948	.
12	klf5l+klf6a+klf6b	.	0.00021858545796563707	0.00021858545796563707	0.04298847339990862	.
14	nfyal	.	2.8131565269505053e-13	2.8131565269505053e-13	1.6597623509007982e-10	.
14	fosaa+fosab+fosl1a	.	1.0753402857359192e-07	1.0753402857359192e-07	3.1722538429209616e-05	.
14	nfic	.	2.573262317742748e-06	2.573262317742748e-06	0.000506074922489407	.
14	nkx3.3-1	.	1.2030016408043793e-05	1.2030016408043793e-05	0.0009641621751876289	.
14	msx1a	.	1.3073385426272934e-05	1.3073385426272934e-05	0.0009641621751876289	.
14	gbx1	.	9.211878989562001e-06	9.211878989562001e-06	0.0009641621751876289	.
14	en2a+en2b	.	1.2667457245265123e-05	1.2667457245265123e-05	0.0009641621751876289	.
14	pbx1a+pbx1b+pbx2+pbx3a+pbx3b	.	9.168008098680907e-06	9.168008098680907e-06	0.0009641621751876289	.
14	ybx1	.	1.6002169483352625e-05	1.6002169483352625e-05	0.0009963383980519911	.
14	en1b	.	1.688709149240663e-05	1.688709149240663e-05	0.0009963383980519911	.
14	nfixa+nfixb	.	2.0391591205361012e-05	2.0391591205361012e-05	0.0010937308010148178	.
14	nfia	.	2.4787276458167277e-05	2.4787276458167277e-05	0.0012187077591932244	.
14	hoxa13a+hoxa13b	.	3.304571030989636e-05	3.304571030989636e-05	0.0014997668525260654	.
